CASE,Interview-Nummer (fortlaufend),METRIC,SYSTEM,
BI07,Ethics_corona,NOMINAL,SELECTION,Consent to participate in this research study
BI02_01,Age: [01],TEXT,OPEN,Please enter your age in years
BI03,Gender,NOMINAL,SELECTION,What is your gender?
BI11,Infection_test,NOMINAL,SELECTION,Have you been tested for an infection with the new coronna virus?
BI10,Language_level,NOMINAL,SELECTION,Due to my level of English...
BI09,Education,NOMINAL,SELECTION,What is your highest level of education (or equivalent)?
PI01_01,Test_you: ...in the next 2 weeks?,METRIC,SCALE,What do you think is the probability that //__you__// will be infected with the new corona virus...
PI01_02,Test_you: ...in the next 2 months?,METRIC,SCALE,What do you think is the probability that //__you__// will be infected with the new corona virus...
PI01_03,Test_you: ...in the next year?,METRIC,SCALE,What do you think is the probability that //__you__// will be infected with the new corona virus...
PI01_04,Test_you: ...in your lifetime?,METRIC,SCALE,What do you think is the probability that //__you__// will be infected with the new corona virus...
PI03_01,Test_average: ...in the next 2 weeks?,METRIC,SCALE,What do you think is the probability that //__an average person__// will be infected with the new corona virus...
PI03_02,Test_average: ...in the next 2 months?,METRIC,SCALE,What do you think is the probability that //__an average person__// will be infected with the new corona virus...
PI03_03,Test_average: ...in the next year?,METRIC,SCALE,What do you think is the probability that //__an average person__// will be infected with the new corona virus...
PI03_04,Test_average: ...in their lifetime?,METRIC,SCALE,What do you think is the probability that //__an average person__// will be infected with the new corona virus...
R202_01,Differences_you_average: ...do you follow hygiene recommendations (e.g.. hand washing)?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_02,Differences_you_average: ...does an average person follow hygiene recommendations (e.g.. hand washing)?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_03,Differences_you_average: ...is it easy for you to minimise physical contact to others?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_04,Differences_you_average: ...is it easy for an average person to minimise physical contact with others?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_07,Differences_you_average: ...do you deem it necessary to minimise physical contact with others?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_08,Differences_you_average: ...does an average person deem it necessary to minimise physical contact to others?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_05,Differences_you_average: ...do you follow media reports on the current situation?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_06,Differences_you_average: ...does an average person follow media reports on the current situation?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_09,Differences_you_average: ...do you have safe living conditions (e.g.. housing. electricity. water. etc.)?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_10,Differences_you_average: ...does an average person have safe living conditions (e.g.. housing. electricity. water. etc.)?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_11,Differences_you_average: ...do you trust the government to respond adequately to the situation?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_12,Differences_you_average: ...does an average person trust the government to respond adequately to the situation?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_13,Differences_you_average: ...do you trust scientists to do their best in the current situation?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_14,Differences_you_average: ...does an average person trust scientists to do their best in the current situation?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_15,Differences_you_average: ...do you think that the current situation reduces global warming?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_16,Differences_you_average: ...does an average person think that the current situation has effects reduces global warming?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_17,Differences_you_average: ...do you think that the social cohesion and solidarity society in general will be reduced?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_18,Differences_you_average: ...does an average person think that the social cohesion and solidarity in society in general will be reduced?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_19,Differences_you_average: ...do you help others cope with the situation (e.g.. run errands for elderly neighours)?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_20,Differences_you_average: ...does an average person help others cope with the situation (e.g.. run errands for elderly neighours)?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
ME01_01,Magnitude_you: ...only mild symptoms that would not be worse than a mild flu?,METRIC,SCALE,If //__you__// were to be infected with the new corona virus. how probable would it be that //__you__// get...
ME01_02,Magnitude_you: ...severe symptoms that would require a hospital stay?,METRIC,SCALE,If //__you__// were to be infected with the new corona virus. how probable would it be that //__you__// get...
ME02_01,Magnitude_average: ...only mild symptoms that would not be worse than a mild flu?,METRIC,SCALE,If //__an average person__// were infected with the new corona virus. how probable would it be that //__this  person__// gets...
ME02_02,Magnitude_average: ...severe symptoms that would require a hospital stay?,METRIC,SCALE,If //__an average person__// were infected with the new corona virus. how probable would it be that //__this  person__// gets...
DT01_01,Denied_you: ...see a doctor due to a different disease and be denied treatment?,METRIC,SCALE,How probable are //__you__//  to suffer indirectly from the spread of the new corona virus? That is. how probable is it that //__you__//  will need to...
DT01_02,Denied_you: ...stay at a hospital due to a different disease and be denied treatment?,METRIC,SCALE,How probable are //__you__//  to suffer indirectly from the spread of the new corona virus? That is. how probable is it that //__you__//  will need to...
DT02_01,Denied_average: ...see a doctor due to a different disease and be denied treatment?,METRIC,SCALE,How probable is //__an average person__// to suffer indirectly from the spread of the new corona virus? That is. how probable is it that //__this person__// will need to...
